order_id,order_date,customer_name,region,product_name,category,price,quantity,total_amount
1001,2024-01-15,Amit Sharma,North,Laptop,Electronics,55000.0,2,110000.0
1002,2024-02-10,Priya Verma,West,Mobile,Electronics,25000.0,3,75000.0
1003,2024-03-05,Rahul Singh,North,Headphones,Electronics,3000.0,5,15000.0
1004,2024-04-12,Neha Gupta,South,Smart Watch,Electronics,7000.0,4,28000.0
1005,2024-05-18,Karan Mehta,West,Tablet,Electronics,20000.0,2,40000.0
1006,2024-06-22,Sneha Reddy,South,Office Chair,Furniture,8000.0,3,24000.0
1007,2024-07-11,Vikas Jain,East,Desk,Furniture,12000.0,1,12000.0
1008,2024-08-19,Anjali Das,East,Printer,Electronics,15000.0,2,30000.0
1009,2024-09-07,Rohit Yadav,North,Laptop,Electronics,55000.0,1,55000.0
1010,2024-10-25,Pooja Nair,South,Mobile,Electronics,25000.0,2,50000.0
1011,2024-11-14,Amit Sharma,North,Headphones,Electronics,3000.0,6,18000.0
1012,2024-12-30,Priya Verma,West,Smart Watch,Electronics,7000.0,3,21000.0
